last_name,cited_name,classification,title,full_name,creation_date,nationality,index
Hetzel,"Hetzel, Lila B.",drawings and watercolors,Alice Craft-Bailey-Hardy,Lila B. Hetzel,1896,American,7031
Hetzel,"Hetzel, Lila B.",drawings and watercolors,"Drawing of Seven Heads (Bessie Wall-Jamison; Alice Barnett, Mrs., Presbyterian Minister; Amelia Neville-Oliver-Crittenden; Greeves; model; Elizabeth Greeves)",Lila B. Hetzel,c. 1895,American,7032
Wall,"Wall, William C.",paintings,Crossan Country Home on the Allegheny River (near Verona),William C. Wall,1865,American,7035
Smith,"Smith, Kiki",prints,Destruction of Birds,Kiki Smith,1997,American,7037
Smith,"Smith, Kiki",prints,White Mammals,Kiki Smith,1998,American,7038
Davis,"Davis, Stuart",prints,Two Figures and El (Sixth Avenue El No. 2),Stuart Davis,1931,American,7041
Martin,"Martin, Reinhold",prints,"Entropia, Part 1: HOMEOFFICE [axonometric drawings]",Reinhold Martin,1996,American,7042
Martin,"Martin, Reinhold",prints,"Entropia, Part 1: HOMEOFFICE [axonometric drawings]",Reinhold Martin,1996,American,7043
Martin,"Martin, Reinhold",prints,"Entropia, Part 1: HOMEOFFICE [axonometric drawings]",Reinhold Martin,1996,American,7044
Martin,"Martin, Reinhold",prints,"Entropia, Part 1: HOMEOFFICE [axonometric drawings]",Reinhold Martin,1996,American,7045
Martin,"Martin, Reinhold",prints,"Entropia, Part 1: HOMEOFFICE [plans]",Reinhold Martin,1996,American,7046
Martin,"Martin, Reinhold",prints,"Entropia, Part 1: HOMEOFFICE [sections]",Reinhold Martin,1996,American,7047
Martin,"Martin, Reinhold",prints,"Entropia, Part 1: HOMEOFFICE [interior perspectives]",Reinhold Martin,1996,American,7048
Martin,"Martin, Reinhold",prints,"Entropia, Part 1: HOMEOFFICE [interior perspectives]",Reinhold Martin,1996,American,7049
Doré,"Doré, Gustave",prints,The Bull's-eye,Gustave Doré,1872,French,7054
Borda,"Borda, Juliette",drawings and watercolors,Synchronized Swimmers,Juliette Borda,1996,American,7055
Kusama,"Kusama, Yayoi",sculpture,Silver Coat,Yayoi Kusama,c. 1962,Japanese,7056
Podwal,"Podwal, Mark",prints,A Megillah,Mark Podwal,1994,American,7062
Tan'yu,Tan'yu Kano,paintings,Screen,Tan'yu Kano,c. 1650,Japanese,7064
Hunt,"Hunt, William M.",paintings,Portrait of Mrs. Robert Shaw Sturgis (Susan Brimmer Inches),William Morris Hunt,1862,American,7087
unknown,unknown Japanese,drawings and watercolors,Abstract Composition,unknown Japanese,1963,Japanese,7088
Kosugi,Kosugi Hoan,drawings and watercolors,After the Frost,Kosugi Hoan,,Japanese,7089
Marin,"Marin, John",drawings and watercolors,Woolworth Building,John Marin,1914,American,7102
Picasso,"Picasso, Pablo",prints,L'Homme a la Guitare (Man with the Guitar),Pablo Picasso,1915,Spanish,7103
Gauguin,"Gauguin, Paul",prints,Bouddha (Buddha),Paul Gauguin,1898-1899,French,7104
Meunier,"Meunier, Constantin",sculpture,Hammerer,Constantin Meunier,c. 1886,Belgian,7105
Valadier,"Valadier, Giuseppe",drawings and watercolors,Elevation Study for the Facade of a Building,Giuseppe Valadier,c. 1780s,Italian,7108
Valadier,"Valadier, Giuseppe",drawings and watercolors,Elevation Study for the Facade of a Building,Giuseppe Valadier,c. 1780s,Italian,7109
Pearlstein,"Pearlstein, Philip",prints,Stonehenge,Philip Pearlstein,1979,American,7110
Pearlstein,"Pearlstein, Philip",prints,Sacsahuaman,Philip Pearlstein,1979,American,7111
Camnitzer,"Camnitzer, Luis",prints,Ejercicio Final,Luis Camnitzer,1970,Uruguayan,7116
